App,MigrationFile,Prefix,Duplicate,SuggestedNewID
master,003_add_pricing_schema.sql,003,NO,202601010003
master,004_optimization_indexes.sql,004,NO,202601010004
master,034_add_kiosk_last_seen.sql,034,NO,202601010034
master,035_add_kiosk_folder_paths.sql,035,NO,202601010035
master,036_high_volume_indices.sql,036,NO,202601010036
master,037_marketing_campaigns.sql,037,NO,202601010037
master,038_gallery_tokens.sql,038,NO,202601010038
master,039_gallery_orders.sql,039,NO,202601010039
master,040_test_data_gallery.sql,040,NO,202601010040
master,041_gallery_settings.sql,041,NO,202601010041
master,042_queue_hardening.sql,042,NO,202601010042
master,043_ensure_queue_fields.sql,043,NO,202601010043
master,044_photographer_ledger.sql,044,NO,202601010044
master,045_add_watermark_fields.sql,045,NO,202601010045
master,047_restore_missing_permissions.sql,047,NO,202601010047
master,048_operation_logs_foundation.sql,048,NO,202601010048
master,049_sync_sequences_and_vector_clocks.sql,049,NO,202601010049
master,050_decoupled_fulfillment_queues.sql,050,NO,202601010050
master,051_add_kiosk_signing_secret.sql,051,NO,202601010051
master,052_fix_queue_priority.sql,052,NO,202601010052
master,053_add_missing_priorities.sql,053,NO,202601010053
master,054_add_cloud_sync_tracking.sql,054,NO,202601010054
master,055_data_management_settings.sql,055,NO,202601010055
master,056_kiosk_telemetry.sql,056,NO,202601010056
master,056_photo_adjustments_stack.sql,056,YES,202601010056
master,057_photo_quality_flags.sql,057,NO,202601010057
master,057_retention_defaults.sql,057,YES,202601010057
master,058_health_contract.sql,058,NO,202601010058
master,058_inventory_sync.sql,058,YES,202601010058
master,059_kiosk_transfer_queue.sql,059,NO,202601010059
master,060_add_session_timing.sql,060,NO,202601010060
master,061_add_photo_favorite.sql,061,NO,202601010061
master,062_photo_presets.sql,062,NO,202601010062
master,063_add_refresh_tokens_table.sql,063,NO,202601010063
master,064_sync_resilience_standardization.sql,064,NO,202601010064
master,065_provisioning_resilience.sql,065,NO,202601010065
master,066_diagnostic_telemetry.sql,066,NO,202601010066
master,067_proactive_maintenance.sql,067,NO,202601010067
master,068_admin_pin_security.sql,068,NO,202601010068
master,069_persistent_write_queue.sql,069,NO,202601010069
master,070_touch_order_idempotency.sql,070,NO,202601010070
master,099_add_audit_tables.sql,099,NO,202601010099
master,100_user_sessions.sql,100,NO,202601010100
master,101_gdpr_compliance.sql,101,NO,202601010101
master,fix_login_history_schema.sql,NONE,NO,20260101NONE
master-cpp,001_add_queues.sql,001,NO,202601010001
master-cpp,001_initial_schema.sql,001,YES,202601010001
master-cpp,002_enhanced_photos_schema.sql,002,NO,202601010002
master-cpp,002_fix_orders_schema.sql,002,YES,202601010002
master-cpp,002_role_permissions.sql,002,YES,202601010002
master-cpp,002_update_schema.sql,002,YES,202601010002
master-cpp,003_add_destinations.sql,003,NO,202601010003
master-cpp,004_add_session_types.sql,004,NO,202601010004
master-cpp,005_add_destinations_updated_at.sql,005,NO,202601010005
master-cpp,005_add_kiosk_sessions_table.sql,005,YES,202601010005
master-cpp,006_update_schema.sql,006,NO,202601010006
master-cpp,007_add_destinations_updated_at.sql,007,NO,202601010007
master-cpp,008_add_packs_and_bookings.sql,008,NO,202601010008
master-cpp,009_add_order_source.sql,009,NO,202601010009
master-cpp,010_performance_indexes.sql,010,NO,202601010010
master-cpp,011_add_assistance_requests.sql,011,NO,202601010011
master-cpp,012_add_photos_room_number.sql,012,NO,202601010012
master-cpp,013_add_albums_kiosk_ready.sql,013,NO,202601010013
master-cpp,014_add_kiosks_settings.sql,014,NO,202601010014
master-cpp,015_add_kiosk_sessions_last_seen.sql,015,NO,202601010015
master-cpp,016_add_kiosk_folder_paths.sql,016,NO,202601010016
master-cpp,017_add_ai_culling.sql,017,NO,202601010017
master-cpp,018_add_face_recognition.sql,018,NO,202601010018
master-cpp,019_add_login_history.sql,019,NO,202601010019
master-cpp,020_ensure_login_history.sql,020,NO,202601010020
master-cpp,021_fix_login_history_columns.sql,021,NO,202601010021
master-cpp,022_backfill_login_history.sql,022,NO,202601010022
master-cpp,023_backfill_user_id.sql,023,NO,202601010023
master-cpp,024_add_daily_objectives.sql,024,NO,202601010024
master-cpp,025_add_kiosk_metadata_only.sql,025,NO,202601010025
master-cpp,025_missing_tables.sql,025,YES,202601010025
master-cpp,026_add_order_number.sql,026,NO,202601010026
master-cpp,027_add_album_email.sql,027,NO,202601010027
master-cpp,028_add_photo_sync_columns.sql,028,NO,202601010028
master-cpp,029_add_photo_tiers.sql,029,NO,202601010029
master-cpp,030_add_face_indexing_queue.sql,030,NO,202601010030
master-cpp,031_fix_face_queue.sql,031,NO,202601010031
master-cpp,032_fix_double_urls.sql,032,NO,202601010032
master-cpp,033_repair_tiny_urls.sql,033,NO,202601010033
master-cpp,034_fix_kiosks_columns.sql,034,NO,202601010034
master-cpp,035_add_order_rfid.sql,035,NO,202601010035
master-cpp,036_high_volume_hardening.sql,036,NO,202601010036
master-cpp,044_add_orders_archive.sql,044,NO,202601010044
master-cpp,045_album_analytics_schema.sql,045,NO,202601010045
master-cpp,046_add_high_res_support.sql,046,NO,202601010046
master-cpp,046_inventory.sql,046,YES,202601010046
master-cpp,047_add_box_to_photo_faces.sql,047,NO,202601010047
master-cpp,051_fix_queue_priority.sql,051,NO,202601010051
master-cpp,052_add_sync_columns.sql,052,NO,202601010052
master-cpp,053_add_order_sync_status.sql,053,NO,202601010053
master-cpp,053_kiosk_transfer_queue.sql,053,YES,202601010053
master-cpp,054_add_quality_flags.sql,054,NO,202601010054
master-cpp,055_add_pairing_tokens.sql,055,NO,202601010055
master-cpp,057_resort_bi_metrics.sql,057,NO,202601010057
master-cpp,058_add_session_timing.sql,058,NO,202601010058
master-cpp,059_performance_indexes_v2.sql,059,NO,202601010059
master-cpp,060_performance_indexes_v3.sql,060,NO,202601010060
management,001_initial_schema.sql,001,NO,202601010001
management,002_enhanced_photos_schema.sql,002,NO,202601010002
management,003_add_destinations.sql,003,NO,202601010003
management,004_add_session_types.sql,004,NO,202601010004
management,005_add_packs_and_bookings.sql,005,NO,202601010005
management,006_add_portfolio.sql,006,NO,202601010006
management,007_add_fleet_monitoring.sql,007,NO,202601010007
management,008_add_scalability_indexes.sql,008,NO,202601010008
management,009_add_booking_details.sql,009,NO,202601010009
management,010_add_inventory_and_equipment.sql,010,NO,202601010010
management,011_add_analytics_schema.sql,011,NO,202601010011
management,012_add_conflict_logging.sql,012,NO,202601010012
management,013_add_hardware_locking.sql,013,NO,202601010013
management,014_add_desk_id_to_users.sql,014,NO,202601010014
management,015_add_marketing_tracking.sql,015,NO,202601010015
management,016_add_photographer_audits.sql,016,NO,202601010016
management,017_align_sync_schema.sql,017,NO,202601010017
management,018_bi_sync_schema.sql,018,NO,202601010018
management,019_add_desk_id_indexes.sql,019,NO,202601010019
management,020_analytics_query_optimization.sql,020,NO,202601010020
management,021_add_refresh_tokens_table.sql,021,NO,202601010021
management,022_add_login_attempts.sql,022,NO,202601010022
management,023_update_schema.sql,023,NO,202601010023
management,024_add_pricing_schema.sql,024,NO,202601010024
management,025_multimaster_compatibility.sql,025,NO,202601010025
management,026_cloud_sync_tables.sql,026,NO,202601010026
management,027_add_fleet_heartbeats_table.sql,027,NO,202601010027
management,028_sync_columns.sql,028,NO,202601010028
management,029_crm_hr.sql,029,NO,202601010029
management,030_dynamic_pricing.sql,030,NO,202601010030
touch,001_initial_schema.sql,001,NO,202601010001
touch,002_enhanced_photos_schema.sql,002,NO,202601010002
touch,002_update_schema.sql,002,YES,202601010002
touch,003_add_destinations.sql,003,NO,202601010003
touch,004_add_session_types.sql,004,NO,202601010004
touch,005_add_packs_and_bookings.sql,005,NO,202601010005
touch,006_add_order_source.sql,006,NO,202601010006
touch,007_add_touch_integration_settings.sql,007,NO,202601010007
touch,008_add_password_change_flag.sql,008,NO,202601010008
touch,009_add_kiosk_ready.sql,009,NO,202601010009
touch,010_add_kiosk_sessions.sql,010,NO,202601010010
touch,011_add_face_recognition.sql,011,NO,202601010011
touch,012_add_kiosk_sessions_lastSeen.sql,012,NO,202601010012
touch,013_add_performance_indexes.sql,013,NO,202601010013
touch,014_harmonize_photos_schema.sql,014,NO,202601010014
